OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,STUDY_ID,TITLE,STUDY_ADT,STUDY_MAX8,STUDY_AMPK,STUDY_PMPK,STDY_TITLE,STDY_LABEL,STDY_YEAR,FLOWMAP,HPMS_FLOW_,AWDT,ADJUSTMENT,AAWDT,RND_AAWDT,SEG_COMPKEY,SHAPE_Length
152,3250020,N,1551,12TH AVE E,267,311028,"12TH AVE E, N/O E JOHN ST; TOTAL FLOW; CH(AGG); 27Mar2012 12:15",7940,4829,564,806,"12TH AVE E, N/O E JOHN ST","311028, 2012-03-27, TOTAL",2012,Y,"12TH AVE E, N/O E JOHN ST",8267.4,1.046,8648,8600,1551,2417.62749523664
153,82920010,N,11495,M L KING JR WAY E,245,311059,"M L KING JR WAY E, S/O E JOHN ST; TOTAL FLOW; CH(AGG); 23Aug2012 10:30",6783,4344,545,704,"M L KING JR WAY E, S/O E JOHN ST","311059, 2012-08-23, TOTAL",2012,Y,"M L KING JR WAY E, S/O E JOHN ST",7458,1.008,7518,7500,11495,5599.1511017078
154,165650100,N,20848,S MICHIGAN ST,66,310083,"S MICHIGAN ST, E/O 6TH AVE S; TOTAL FLOW; CH(AGG); 30Apr2012 10:15",37489,21266,2690,2827,"S MICHIGAN ST, E/O 6TH AVE S","310083, 2012-04-30, TOTAL",2012,Y,"S MICHIGAN ST, E/O 6TH AVE S",41437.6,0.984,40775,40800,20848,3586.29351019681
155,116900140,N,14946,E YESLER WAY,71,311093,"E YESLER WAY, W/O 23RD AVE; TOTAL FLOW; CH(AGG); 27Mar2012 11:30",7690,4773,732,684,"E YESLER WAY, W/O 23RD AVE","311093, 2012-03-27, TOTAL",2012,Y,"E YESLER WAY, W/O 23RD AVE",8218,1.046,8596,8600,14946,6243.1889389161
156,167350150,N,21055,S OTHELLO ST,97,311114,"S OTHELLO ST, E/O 43RD AVE S; TOTAL FLOW; CH(AGG); 03Dec2012 12:15",7595,4342,494,697,"S OTHELLO ST, E/O 43RD AVE S","311114, 2012-12-03, TOTAL",2012,Y,"S OTHELLO ST, E/O 43RD AVE S",7894.4,1.001,7902,7900,21055,6539.88964672874
157,2300050,N,1408,11TH AVE NE,102,309448,"11TH AVE NE, S/O NE 45TH ST; N FLOW; CHB TUBE; 22Oct2012 14:00",10044,7442,591,1575,"11TH AVE NE, S/O NE 45TH ST","309448, 2012-10-22, N",2012,Y,"11TH AVE NE, S/O NE 45TH ST",11163.4,0.978,10918,10900,1408,7370.84136378832
158,520040,N,1270,1ST AV S BR NB,209,311304,"1ST AV S BR (NB&SB), S/O POINT A; TOTAL FLOW; CH(AGG); 06Sep2012 10:30",81202,50041,6537,7365,"1ST AV S BR (NB&SB), S/O POINT A","311304, 2012-09-06, TOTAL",2012,Y,"1ST AV S BR NB & SB, S/O POINT A",91586.4,0.974,89205,89200,1270,6423.33396481936
159,94850310,N,12623,ROOSEVELT WAY NE,219,309470,"ROOSEVELT WAY NE, N/O NE 73RD ST; S FLOW; CHB TUBE; 05Nov2012 10:45",11468,7543,1185,1132,"ROOSEVELT WAY NE, N/O NE 73RD ST","309470, 2012-11-05, S",2012,Y,"ROOSEVELT WAY NE, N/O NE 73RD ST",11985.2,1.04,12465,12500,12623,597.649017834874
160,48000400,N,8406,8TH AVE NW,95,311211,"8TH AVE NW, S/O NW 80TH ST; TOTAL FLOW; CH(AGG); 01Nov2012 10:45",19166,12033,1590,1913,"8TH AVE NW, S/O NW 80TH ST","311211, 2012-11-01, TOTAL",2012,Y,"8TH AVE NW, S/O NW 80TH ST",20239,1.04,21049,21000,8406,14468.6430631516
161,200640,N,1113,1ST AVE NE,49,308102,"1ST AVE NE, S/O NE 145TH ST; TOTAL FLOW; CH2; 14May2012 10:15",4794,3343,478,581,"1ST AVE NE, S/O NE 145TH ST","308102, 2012-05-14, TOTAL",2012,Y,"1ST AVE NE, S/O NE 145TH ST",5404.6,1.002,5415,5400,1113,3986.72548798665
162,174000400,N,21861,FAUNTLEROY FERRY DOCK,87,311261,Aggregate Title,4987,3079,500,396,Aggregate Title,"311261, 2012-05-01, TOTAL",2012,Y,"SW BARTON ST, SW/O FAUNTLEROY WAY SW",5276.8,1.002,5287,5300,21861,304.679593832594
163,157550090,N,19832,S DEARBORN ST,158,310077,"S DEARBORN ST, W/O 13TH AVE S; TOTAL FLOW; CH(AGG); 19Apr2012 12:15",20258,11037,1388,1491,"S DEARBORN ST, W/O 13TH AVE S","310077, 2012-04-19, TOTAL",2012,Y,"S DEARBORN ST, W/O 13TH AVE S",21202.2,0.984,20863,20900,19832,4409.29152525954
164,38850120,Y,7235,5TH AVE,62,308945,"5TH AVE, SE/O PIKE ST; SE FLOW; CH(AGG); 19Jul2012 10:15",13247,7084,987,953,"5TH AVE, SE/O PIKE ST","308945, 2012-07-19, SE",2012,Y,"5TH AVE, SE/O PIKE ST",13782.6,0.981,13521,13500,7235,4844.80853947761
165,93450010,N,12340,RAINIER AVE S,163,310065,"RAINIER AVE S, SE/O BOREN AVE S; TOTAL FLOW; CH(AGG); 19Mar2012 11:15",31757,17705,2016,2515,"RAINIER AVE S, SE/O BOREN AVE S","310065, 2012-03-19, TOTAL",2012,Y,"RAINIER AVE S, SE/O BOREN AVE S",33226.6,1.046,34755,34800,12340,2902.00939107233
166,65600100,N,10218,ELLIOTT AVE W,197,309961,"ELLIOTT AVE W, SE/O W MERCER PL; TOTAL FLOW; CH(AGG); 17Apr2012 11:00",40465,23853,3255,3527,"ELLIOTT AVE W, SE/O W MERCER PL","309961, 2012-04-17, TOTAL",2012,Y,"ELLIOTT AVE W, SE/O W MERCER PL",43509.2,0.984,42813,42800,10218,10823.2446106087
167,86150160,N,11775,MERCER ST,131,311227,"MERCER SR ST, W/O FAIRVIEW N AVE N; TOTAL FLOW; CH(AGG); 01Feb2012 10:30",54545,31470,3600,4751,"MERCER SR ST, W/O FAIRVIEW N AVE N","311227, 2012-02-01, TOTAL",2012,Y,"MERCER ST, W/O FAIRVIEW AVE N",58587.6,1.019,59701,59700,11775,2310.08851444166
168,151300110,N,19223,NW MARKET ST,189,310051,"NW MARKET ST, W/O 8TH AVE NW; TOTAL FLOW; CH(AGG); 19Oct2012 09:30",23607,12858,1533,1833,"NW MARKET ST, W/O 8TH AVE NW","310051, 2012-10-19, TOTAL",2012,Y,"NW MARKET ST, W/O 8TH AVE NW",24354.4,0.978,23819,23800,19223,6251.59244867809
169,121250320,N,15553,N 45TH ST,151,311099,"N 45TH ST, W/O EASTERN AVE N; TOTAL FLOW; CH(AGG); 24Apr2012 12:30",22461,11056,1339,1466,"N 45TH ST, W/O EASTERN AVE N","311099, 2012-04-24, TOTAL",2012,Y,"N 45TH ST, W/O EASTERN AVE N",22690.8,0.984,22328,22300,15553,4925.06513857086
170,83150030,N,11604,MAGNOLIA BR,250,309995,"MAGNOLIA BR, E/O W GARFIELD ST OFF RP; TOTAL FLOW; CH(AGG); 01Aug2012 09:45",17050,9624,1194,1460,"MAGNOLIA BR, E/O W GARFIELD ST OFF RP","309995, 2012-08-01, TOTAL",2012,Y,"MAGNOLIA BR, E/O W GARFIELD ST OFF RP",17560,1.008,17700,17700,11604,8172.69442971623
171,104400090,N,13540,WESTLAKE AVE N,263,310126,"WESTLAKE AVE N, S/O HIGHLAND DR; TOTAL FLOW; CH(AGG); 24Oct2012 10:45",22258,13420,1844,2140,"WESTLAKE AVE N, S/O HIGHLAND DR","310126, 2012-10-24, TOTAL",2012,Y,"WESTLAKE AVE N, S/O HIGHLAND DR",24363.4,0.978,23827,23800,13540,8936.62593137646
172,80150170,N,11159,LAKE CITY WAY NE,23,310560,"LAKE CITY WAY NE, NE/O NE 95TH ST; TOTAL FLOW; CH(AGG); 09Oct2012 12:00",34636,20888,2826,3090,"LAKE CITY WAY NE, NE/O NE 95TH ST","310560, 2012-10-09, TOTAL",2012,Y,"LAKE CITY WAY NE, NE/O NE 95TH ST",37541.8,0.978,36716,36700,11159,8963.03043512645
173,178150150,N,22372,,165,309434,"SW HOLDEN ST, W/O DELRIDGE WAY SW; TOTAL FLOW; CHB TUBE; 23Oct2012 11:30",5557,3663,653,516,"SW HOLDEN ST, W/O DELRIDGE WAY SW","309434, 2012-10-23, TOTAL",2012,Y,"SW HOLDEN ST, W/O DELRIDGE WAY SW",6079.4,0.978,5946,5900,22372,4000.47390881984
174,13750030,N,3444,23RD AVE S,136,310669,"23RD AVE S, S/O S JACKSON ST; TOTAL FLOW; CH2; 19Mar2012 11:30",13178,8185,1089,1301,"23RD AVE S, S/O S JACKSON ST","310669, 2012-03-19, TOTAL",2012,Y,"23RD AVE S, S/O S JACKSON ST",13719.6,1.046,14351,14400,3444,5429.36245564754
175,59920010,N,534681,,90,311301,"COLMAN DOCK , W/O ALASKAN WAY; TOTAL FLOW; CH(AGG); 13Aug2012 10:15",8918,6289,846,890,"COLMAN DOCK , W/O ALASKAN WAY","311301, 2012-08-13, TOTAL",2012,Y,"COLMAN DOCK , W/O ALASKAN WAY",10126.5,1.008,10208,10200,534681,260.525766088636
176,50500050,Y,8738,ALASKAN WAY S,184,310693,"ALASKAN WAY S, N/O S KING ST; TOTAL FLOW; CHB TUBE; 12Mar2012 12:00",11643,7426,825,1386,"ALASKAN WAY S, N/O S KING ST","310693, 2012-03-12, TOTAL",2012,Y,"ALASKAN WAY S, N/O S KING ST",12128.4,1.046,12686,12700,8738,5022.6733586054
177,50500170,N,8742,ALASKAN WAY S,237,309951,"EAST MARGINAL (NB&SB) WAY S, N/O ALASKAN WY VI NB; TOTAL FLOW; CH(AGG); 07Jun2012 11:15",11676,9842,1404,1419,"EAST MARGINAL (NB&SB) WAY S, N/O ALASKAN WY VI NB","309951, 2012-06-07, TOTAL",2012,Y,"EAST MARGINAL NB & SB WAY S, N/O ALASKAN WY VI NB",14738.4,0.964,14208,14200,8742,6192.23008228768
178,94850600,N,12652,ROOSEVELT WAY NE ,119,310069,"ROOSEVELT WAY NE, S/O NE NORTHGATE WAY; TOTAL FLOW; CH(AGG); 19Apr2012 11:00",9855,6394,689,1094,"ROOSEVELT WAY NE, S/O NE NORTHGATE WAY","310069, 2012-04-19, TOTAL",2012,Y,"ROOSEVELT WAY NE, S/O NE NORTHGATE WAY",10425.4,0.984,10259,10300,12652,9284.0371815674
179,68750010,N,10563,FREMONT BR,127,310475,"FREMONT BR, N/O POINT A; TOTAL FLOW; CH(AGG); 17Oct2012 12:00",29378,18035,2041,3014,"FREMONT BR, N/O POINT A","310475, 2012-10-17, TOTAL",2012,Y,"FREMONT BR, N/O POINT A",31130.2,0.978,30445,30400,10563,1563.83520180417
180,53650010,N,9080,BATTERY ST TUNNEL NB & SB,179,311379,"BATTERY ST TUNNEL (NB&SB), NE/O ALASKAN WY VI NB; TOTAL FLOW; CH(AGG);(2011 DATA) 04Jun2012 11:15",48668,34372,4940,5399,"BATTERY ST TUNNEL (NB&SB), NE/O ALASKAN WY VI NB","311379, 2012-06-04, TOTAL",2012,Y,"BATTERY ST TUNNEL (NB & SB), NE/O ALASKAN WY VI NB",54508.8,0.964,52546,52500,9080,2041.68460168053
181,162850080,N,20488,S JACKSON ST,79,310081,"S JACKSON ST, E/O 5TH AVE S; TOTAL FLOW; CH(AGG); 08Mar2012 13:15",13086,7292,762,1049,"S JACKSON ST, E/O 5TH AVE S","310081, 2012-03-08, TOTAL",2012,Y,"S JACKSON ST, E/O 5TH AVE S",13200.8,1.046,13808,13800,20488,5255.77699441979
182,97450080,N,12881,SR509 NB,1,311326,"SR509 (NB&SB), S/O CLOVERDALE ST OFF RP; TOTAL FLOW; CH(AGG); 01May2012 10:45",58027,35121,5206,5329,"SR509 (NB&SB), S/O CLOVERDALE ST OFF RP","311326, 2012-05-01, TOTAL",2012,Y,"SR509 NB & SB , S/O CLOVERDALE ST ON & OFF RP",63651.6,1.002,63779,63800,12881,5993.17400336864
183,161550180,N,20241,S HENDERSON ST,15,310079,"S HENDERSON ST, E/O RENTON AVE S; TOTAL FLOW; CH(AGG); 02Feb2012 12:45",10489,6104,646,942,"S HENDERSON ST, E/O RENTON AVE S","310079, 2012-02-02, TOTAL",2012,Y,"S HENDERSON ST, E/O RENTON AVE S",10902.4,1.019,11110,11100,20241,2223.64576048056
184,113000310,N,14409,EAST MARGINAL WAY S,30,309955,"EAST MARGINAL WAY S, SE/O 4TH AVE S; TOTAL FLOW; CH(AGG); 30Apr2012 10:45",14562,10381,1406,1477,"EAST MARGINAL WAY S, SE/O 4TH AVE S","309955, 2012-04-30, TOTAL",2012,Y,"EAST MARGINAL WAY S, SE/O 4TH AVE S",17770.4,0.984,17486,17500,14409,5366.3587690045
185,83030670,N,486569,M L KING JR WAY S NB & SB,145,309987,"M L KING JR (ER&WR) WAY S, S/O S HOLLY ST; TOTAL FLOW; CH(AGG); 27Nov2012 13:30",23280,12832,1530,1908,"M L KING JR (ER&WR) WAY S, S/O S HOLLY ST","309987, 2012-11-27, TOTAL",2012,Y,"M L KING JR ER & WR WAY S, SE/O S HOLLY ST",23655.8,1.04,24602,24600,486569,7186.56246334046
186,113000390,N,14420,EAST MARGINAL WAY S,88,309957,"EAST MARGINAL WAY S, SE/O BOEING DR; TOTAL FLOW; CH(AGG); 25Jun2012 11:15",16121,11167,1591,1698,"EAST MARGINAL WAY S, SE/O BOEING DR","309957, 2012-06-25, TOTAL",2012,Y,"EAST MARGINAL WAY S, SE/O BOEING DR",19354.6,0.964,18658,18700,14420,1390.10676232092
187,50450160,Y,269161,ALASKAN WAY,135,310691,"ALASKAN WAY, SE/O PIKE ST; TOTAL FLOW; CHA TUBE; 18Jul2012 10:30",12308,7340,657,1211,"ALASKAN WAY, SE/O PIKE ST","310691, 2012-07-18, TOTAL",2012,Y,"ALASKAN WAY, SE/O PIKE ST",12578.8,0.981,12340,12300,269161,2699.04032910445
188,160500030,N,20110,S GRAHAM ST,6,311254,"S GRAHAM ST, E/O SWIFT AVE S; TOTAL FLOW; CH(AGG); 02Apr2012 11:30",17533,8916,1110,1251,"S GRAHAM ST, E/O SWIFT AVE S","311254, 2012-04-02, TOTAL",2012,Y,"S GRAHAM ST, E/O SWIFT AVE S",17645.4,0.984,17363,17400,20110,5651.07612461468
189,52500700,N,8957,AURORA AVE N,34,311215,"AURORA AVE N, S/O N 80TH ST; TOTAL FLOW; CH(AGG); 01Nov2012 11:30",33907,22368,2937,3579,"AURORA AVE N, S/O N 80TH ST","311215, 2012-11-01, TOTAL",2012,Y,"AURORA AVE N, S/O N 80TH ST",36727.4,1.04,38196,38200,8957,13102.2169933237
190,52501010,N,8988,AURORA AVE N,57,311038,"AURORA AVE N, S/O N 112TH ST; TOTAL FLOW; CH(AGG); 16Oct2012 11:00",33886,20944,2344,3124,"AURORA AVE N, S/O N 112TH ST","311038, 2012-10-16, TOTAL",2012,Y,"AURORA AVE N, S/O N 112TH ST",36000.6,0.978,35209,35200,8988,8438.97368800524
191,57900270,N,9555,CALIFORNIA AVE SW,75,311043,"CALIFORNIA AVE SW, S/O ERSKINE WAY SW; TOTAL FLOW; CH(AGG); 06Dec2012 12:15",12604,7473,853,1072,"CALIFORNIA AVE SW, S/O ERSKINE WAY SW","311043, 2012-12-06, TOTAL",2012,Y,"CALIFORNIA AVE SW, S/O ERSKINE WAY SW",12757.8,1.001,12771,12800,9555,5272.75741863451
192,93450300,N,12368,RAINIER AVE S,144,310067,"RAINIER AVE S, SE/O M L KING JR WAY S; TOTAL FLOW; CH(AGG); 06Jun2012 10:45",29638,16512,1832,2390,"RAINIER AVE S, SE/O M L KING JR WAY S","310067, 2012-06-06, TOTAL",2012,Y,"RAINIER AVE S, SE/O M L KING JR WAY S",30588,0.964,29487,29500,12368,6332.03144579691
193,82930400,N,352636,ML KING JR BLVD S NB & SB,246,310412,"M L KING JR (ER&WR) WAY S, N/O S ANDOVER ST; TOTAL FLOW; CH(AGG); 11Oct2012 11:30",18800,11949,1023,1955,"M L KING JR (ER&WR) WAY S, N/O S ANDOVER ST","310412, 2012-10-11, TOTAL",2012,Y,"M L KING JR ER & WR WAY S, N/O S ANDOVER ST",19940.4,0.978,19502,19500,352636,15241.4791417058
194,31500050,N,6230,4TH AVE S,185,309913,"4TH AVE S, S/O 2ND AV ET S; TOTAL FLOW; CH(AGG); 12Mar2012 10:45",24941,17132,2592,2679,"4TH AVE S, S/O 2ND AV ET S","309913, 2012-03-12, TOTAL",2012,Y,"4TH AVE S, S/O 2ND AV ET S",28153,1.046,29448,29400,6230,989.412465069063
195,95550230,N,12724,SAND POINT WAY NE,226,311322,"SAND POINT WAY NE, S/O NE 74TH ST; TOTAL FLOW; CH(AGG); 06Nov2012 11:00",13889,8810,1124,1489,"SAND POINT WAY NE, S/O NE 74TH ST","311322, 2012-11-06, TOTAL",2012,Y,"SAND POINT WAY NE, S/O NE 74TH ST",14648.25,1.04,15234,15200,12724,2627.99576303644
196,110700050,N,14060,EAST GREEN LAKE DR N,262,311079,"EAST GREEN LAKE DR N, NW/O LATONA AVE NE; TOTAL FLOW; CH(AGG); 13Aug2012 12:00",14313,8561,907,1243,"EAST GREEN LAKE DR N, NW/O LATONA AVE NE","311079, 2012-08-13, TOTAL",2012,Y,"EAST GREEN LAKE DR N, NW/O LATONA AVE NE",15198.2,1.008,15320,15300,14060,5942.77387874824
197,95550200,N,12722,SAND POINT WAY NE,37,311073,"SAND POINT WAY NE, SW/O NE 65TH ST; TOTAL FLOW; CH(AGG); 18Dec2012 13:45",13352,8306,1011,1286,"SAND POINT WAY NE, SW/O NE 65TH ST","311073, 2012-12-18, TOTAL",2012,Y,"SAND POINT WAY NE, SW/O NE 65TH ST",14452,1.001,14466,14500,12722,9653.77166345891
198,82930910,N,489661,M L KING JR WAY S,104,309989,"M L KING JR (ER&WR) WAY S, S/O S NORFOLK ST; TOTAL FLOW; CH(AGG); 09May2012 10:45",30360,16211,1975,2316,"M L KING JR (ER&WR) WAY S, S/O S NORFOLK ST","309989, 2012-05-09, TOTAL",2012,Y,"M L KING JR ER & WR WAY S, S/O S NORFOLK ST",31478,1.002,31541,31500,489661,5307.43389225253
199,118500080,N,519931,N 125TH ST,103,311371,"N 125TH ST, W/O AURORA AVE N; TOTAL FLOW; CH(AGG); 05Sep2012 12:15",0,5422,674,787,"N 125TH ST, W/O AURORA AVE N","311371, 2012-09-05, TOTAL",2012,Y,"N 125TH ST, W/O AURORA AVE N",9275,0.974,9034,9000,519931,2609.62338126094
200,,N,484993,M L KING JR WAY S,220,311061,"M L KING JR (ER&WR) WAY S, N/O S EDMUNDS ST; TOTAL FLOW; CH(AGG); 08Nov2012 11:30",20168,11738,1420,1782,"M L KING JR (ER&WR) WAY S, N/O S EDMUNDS ST","311061, 2012-11-08, TOTAL",2012,Y,"M L KING JR ER & WR WAY S, NW/O S EDMUNDS ST",21473.75,1.04,22333,22300,484993,7102.2135489261
201,104300010,Y,13524,WESTERN AV OFF RP,22,311306,"WESTERN AV OFF RP, NW/O ALASKAN WY VI NB; NW FLOW; CHA TUBE;(2011 DATA) 04Jun2012 09:30",13786,9051,1307,1174,"WESTERN AV OFF RP, NW/O ALASKAN WY VI NB","311306, 2012-06-04, NW",2012,Y,"WESTERN AV OFF RP, NW/O ALASKAN WY VI NB",16637,0.964,16038,16000,13524,800.684096850947
202,97810020,N,490543,SR99 FY,217,311299,"WEST MARGINAL (NB&SB) WAY S, SE/O CLOVERDALE ST ON RP; TOTAL FLOW; CH(AGG); 02May2012 12:15",36545,23479,3209,3331,"WEST MARGINAL (NB&SB) WAY S, SE/O CLOVERDALE ST ON RP","311299, 2012-05-02, TOTAL",2012,Y,"WEST MARGINAL NB & SB WAY S, SE/O CLOVERDALE ST ON RP",42827.6,1.002,42913,42900,490543,6145.46164538252
203,60150010,Y,9738,COLUMBIA ST ON RP,252,311223,"COLUMBIA ST ON RP, NE/O 1ST AVE; TOTAL FLOW; CH(AGG); 12Mar2012 12:30",20652,14161,937,2777,"COLUMBIA ST ON RP, NE/O 1ST AVE","311223, 2012-03-12, TOTAL",2012,Y,"COLUMBIA ST ON RP, NE/O ALASKAN WY VI SB",22723.2,1.046,23768,23800,9738,664.565591660201
204,65700010,Y,10224,ELLIOTT AV ON RP,93,308161,"ELLIOTT AV ON RP, NW/O ALASKAN WY VI SB; SE FLOW; CH1; 07Jun2012 10:30",13341,7143,929,1085,"ELLIOTT AV ON RP, NW/O ALASKAN WY VI SB","308161, 2012-06-07, SE",2012,Y,"ELLIOTT AV ON RP, NW/O ALASKAN WY VI SB",13890,0.964,13390,13400,10224,556.386438061138
205,31500050,Y,6230,4TH AVE S,185,309913,"4TH AVE S, S/O 2ND AV ET S; TOTAL FLOW; CH(AGG); 12Mar2012 10:45",24941,17132,2592,2679,"4TH AVE S, S/O 2ND AV ET S","309913, 2012-03-12, TOTAL",2012,Y,"4TH AVE S, S/O 2ND AV ET S",28153,1.046,29448,29400,6230,932.017380165578
206,55650170,Y,9318,BOREN AVE,39,309925,"BOREN AVE, SE/O PIKE ST; TOTAL FLOW; CH(AGG); 23Oct2012 10:30",18360,11207,1579,1545,"BOREN AVE, SE/O PIKE ST","309925, 2012-10-23, TOTAL",2012,Y,"BOREN AVE, SE/O PIKE ST",20168.4,0.978,19725,19700,9318,5447.81886996131
207,50450230,Y,8728,ALASKAN WAY,76,310189,"ALASKAN WAY, SE/O BLANCHARD ST; TOTAL FLOW; CH(AGG); 14Mar2012 11:15",9138,5973,650,1269,"ALASKAN WAY, SE/O BLANCHARD ST","310189, 2012-03-14, TOTAL",2012,Y,"ALASKAN WAY, SE/O BLANCHARD ST",9439.8,1.046,9874,9900,8728,4264.96292674291
208,181760010,N,22804,SW SPOKANE BR,166,310663,"SW SPOKANE BR, W/O SW SPOKANE E ST; TOTAL FLOW; CH(AGG); 18Oct2012 12:15",9595,8586,1343,1116,"SW SPOKANE BR, W/O SW SPOKANE E ST","310663, 2012-10-18, TOTAL",2012,Y,"SW SPOKANE BR, W/O SW SPOKANE E ST",12390.8,0.978,12118,12100,22804,3997.45282894368
209,27200140,N,5452,35TH AVE SW,200,309905,"35TH AVE SW, S/O SW ALASKA ST; TOTAL FLOW; CH(AGG); 18Sep2012 11:00",22676,12973,1545,2032,"35TH AVE SW, S/O SW ALASKA ST","309905, 2012-09-18, TOTAL",2012,Y,"35TH AVE SW, S/O SW ALASKA ST",23654.6,0.974,23040,23000,5452,7074.60116424615
210,78100010,R,489864,UNION ST OFF RAMP,227,306973,"UNION ST OFF RP, NE/O UNION ST; SW FLOW; CHA TUBE; 06Mar2012 11:30",8376,5423,1075,530,"UNION ST OFF RP, NE/O UNION ST","306973, 2012-03-06, SW",2012,Y,"UNION ST OFF RP, NE/O UNION ST",9180.6,1.046,9603,9600,489864,309.136216973012
211,77250010,R,489829,OLIVE WAY OFF RAMP,56,308691,"OLIVE WY OFF RP, S/O OLIVE WAY; N FLOW; CHA TUBE; 26Jul2012 10:00",8572,4445,647,581,"OLIVE WY OFF RP, S/O OLIVE WAY","308691, 2012-07-26, N",2012,Y,"OLIVE WY OFF RP, S/O OLIVE WAY",8894.8,0.981,8726,8700,489829,1120.9357023746
212,96200020,R,490079,SENECA ST OFF RAMP,141,311298,"I5 NB SENECA ST OFF RP, SE/O SENECA ST; NW FLOW; CH1; 08Mar2012 11:45",12296,7295,1377,892,"I5 NB SENECA ST OFF RP, SE/O SENECA ST","311298, 2012-03-08, NW",2012,Y,"SENECA ST OFF RP, SE/O SENECA ST",12618.2,1.046,13199,13200,490079,1443.09187831442
213,53960170,N,573395,BEACON AVE S,108,311320,"BEACON AVE S, S/O S SPOKANE ST; TOTAL FLOW; CH(AGG); 06Jun2012 11:45",12361,7638,978,1185,"BEACON AVE S, S/O S SPOKANE ST","311320, 2012-06-06, TOTAL",2012,Y,"BEACON AVE S, S/O S SPOKANE ST",13183.4,0.964,12709,12700,573395,24971.4759282762
214,78200010,R,489781,YALE ST ON RAMP,235,308695,"HOWELL ST ON RP, S/O HOWELL ST; S FLOW;(YALE ST) CHA TUBE; 26Jul2012 10:45",19054,10050,1138,1413,"HOWELL ST ON RP, S/O HOWELL ST","308695, 2012-07-26, S",2012,Y,"HOWELL ST ON RP, N/O I5 SB",20169.6,0.981,19786,19800,489781,448.622393919978
215,75600010,R,490102,CHERRY ST ON RAMP NB,156,308690,"CHERRY ST ON RP, NW/O CHERRY ST; N FLOW; CHB TUBE; 26Jul2012 10:00",11116,7002,670,1198,"CHERRY ST ON RP, NW/O CHERRY ST","308690, 2012-07-26, N",2012,Y,"CHERRY ST ON RP, NW/O CHERRY ST",12334.4,0.981,12100,12100,490102,1466.01938384204
216,77300010,R,489779,MELROSE AVE ON RAMP,117,308692,"OLIVE WY ON RP, N/O MELROSE AV ON RP; N FLOW; CHA TUBE; 26Jul2012 10:15",19964,10437,1270,1554,"OLIVE WY ON RP, N/O MELROSE AV ON RP","308692, 2012-07-26, N",2012,Y,"OLIVE WY ON RP, N/O MELROSE AV ON RP",20872.6,0.981,20476,20500,489779,1405.4477814875
217,50950010,N,8782,ALKI AVE SW,10,310330,"ALKI AVE SW, W/O HARBOR AVE SW; TOTAL FLOW; CH(AGG); 11Oct2012 11:15",9029,5085,582,772,"ALKI AVE SW, W/O HARBOR AVE SW","310330, 2012-10-11, TOTAL",2012,Y,"ALKI AVE SW, W/O HARBOR AVE SW",9292.4,0.978,9088,9100,8782,19122.2761264024
218,76650010,R,490110,JAMES ST ON RAMP SB,190,307001,"6TH AV ON RP, SE/O 6TH AVE; SE FLOW; CHB TUBE; 08Mar2012 10:15",17091,10424,1079,1643,"6TH AV ON RP, SE/O 6TH AVE","307001, 2012-03-08, SE",2012,Y,"6TH AV ON RP, SE/O 6TH AVE",18844.4,1.046,19711,19700,490110,644.882326286976
219,75650010,R,490099,CHERRY ST REV RAMP,142,306995,"CHERRY ST EXPRESS RP, NE/O CHERRY ST; REV FLOW; CHA TUBE; 08Mar2012 10:45",847,932,181,199,"CHERRY ST EXPRESS RP, NE/O CHERRY ST","306995, 2012-03-08, REV",2012,Y,"CHERRY ST EXPRESS RP, NE/O CHERRY ST",1080.2,1.046,1130,1100,490099,225.508948337042
220,76600020,R,490084,COLUMBIA ST OFF RAMP,216,306993,"JAMES ST OFF RP, N/O COLUMBIA ST; S FLOW; CH1; 08Mar2012 11:00",12903,8534,1485,936,"JAMES ST OFF RP, N/O COLUMBIA ST","306993, 2012-03-08, S",2012,Y,"JAMES ST OFF RP, NW/O COLUMBIA ST",14012.2,1.046,14657,14700,490084,314.991595957489
221,75680010,R,489839,PIKE RAMP,51,306972,"I5 EXPR PIKE AND 9TH RP, N/O 9TH AV I5 EXPRESS ON RP; REV FLOW; CHA TUBE; 06Mar2012 11:15",1861,1835,439,335,"I5 EXPR PIKE AND 9TH RP, N/O 9TH AV I5 EXPRESS ON RP","306972, 2012-03-06, REV",2012,Y,"I5 EXPR PIKE AND 9TH RP, N/O 9TH AV I5 EXPRESS ON RP",2266.2,1.046,2370,2400,489839,2503.7754844319
222,77800010,R,490080,SPRING ST ON RAMP,110,306994,"SPRING ST ON RP, SE/O SPRING ST; SE FLOW; CH1; 08Mar2012 11:00",16132,9024,964,1406,"SPRING ST ON RP, SE/O SPRING ST","306994, 2012-03-08, SE",2012,Y,"SPRING ST ON RP, SE/O SPRING ST",17169.8,1.046,17960,18000,490080,424.613715658628
223,50650130,N,8765,ALASKAN WY VI NB & SB,282,0, ,61000,0,0,0, ,"WSDOT, ADT",2012,Y, ,0,0,0,61000,8765,8414.02430030136
